ID,Item_name,Item_address,korean_name,Category,Effect_1,Effect_2,Hardpoint,Unlock_Lv.,Unlock_Precondition,Cost,Item_Description
1131000300,Thruster_1,Sci-Fi Flat Skills / Tex_skill_77,표준형 엔진 ,1,3110,,3,,기본 장비,,보안부 제식 규격 엔진입니다. 오래되었지만 신뢰성이 높아 여러 인원들에게 사랑받습니다.
1131000305,Thruster_2,Sci-Fi Flat Skills / Tex_skill_77,개선된 표준형 엔진,1,3115,,3,5,소형/개조된 소형 해적선 20기 격파 또는 무력화,5000,제식 규격 엔진의 최신판입니다. 신뢰도는 챙기면서 출력을 높여 기존보다 빠른 속도로 이동할 수 있습니다.
1131000315,Thruster_3,Sci-Fi Flat Skills / Tex_skill_77,낡은 군용 엔진,1,3130,,3,15,중형 / 개조된 중형 해적선 20기 격파 또는 무력화,7500,낡았지만 강력한 출력을 가지고 있습니다. 배터리 효율에도 도움이 됩니다.
1131320318,Thruster_4,Sci-Fi Flat Skills / Tex_skill_77,신형 군용 엔진,1,3145,3210,3,18,해적 모선 10기 무력화,14000,어디서 들어온건진 모르겠지만 최신형의 군용 엔진입니다. 넘치는 출력 덕분에 당신이 따라잡지 못할 존재는 없습니다. 
1232000200,Generator_1,Sci-Fi Flat Skills / Tex_skill_61,구형 방어막 발생기,2,3210,,2,,기본 장비,,창고에서 보관중이던 방어막 생성기입니다. 구형이지만 아직 쓸수는 있습니다.
1232000207,Generator_2,Sci-Fi Flat Skills / Tex_skill_61,표준형 방어막 발생기,2,3230,,2,7,미션 완료 15회,7000,표준 규격의 배터리를 사용해 사용자에게 공격 한두번은 충분히 버틸수 있는 수준의 방어막을 제공합니다. 
1232000212,Generator_3,Sci-Fi Flat Skills / Tex_skill_54,고속 충전형 방어막 발생기,2,3260,,2,12,미션 완료 20회,12000,실험적인 기술을 도입해 방어막이 모두 소진되어도 기존보다 빠르게 에너지를 채워 방어막을 다시 만들 수 있습니다.
1233000220,Generator_4,Sci-Fi Flat Skills / Tex_skill_61,대형 방어막 발생기,2,3340,,2,20,중형 / 개조된 중형 해적선 40기 격파 또는 무력화,16000,에너지 압축률을 극한으로 끌어올린 배터리를 통해 사용자가 더 많은 공격을 버틸 수 있도록 돕습니다.
1334000200,Armor_1,Sci-Fi Flat Skills / Tex_skill_64,표준형 장갑판,3,3420,,2,,기본장비,,보안부 제식 규격의 장갑재입니다. 단순하지만 사용자에게 적절한 방호력을 제공해줄 수 있습니다.
1334310204,Armor_2,Sci-Fi Flat Skills / Tex_skill_64,경량 합금 장갑판,3,3420,3110,2,4,미션 완료 5회,3000,장갑의 강도는 유지하면서 더 빠른 속도를 얻을 수 있었습니다. 고속 순찰대 인원들에게 인기있습니다.
1334000208,Armor_3,Sci-Fi Flat Skills / Tex_skill_64,시제형 강화 합금 장갑,3,3435,,2,8,중형 해적선 15기 격파 또는 무력화,11000,아직 테스트 단계의 신형 장갑재를 사용합니다. 불안정하지만 기존 장갑재보다 나은 방호력을 제공합니다.
1334310216,Armor_4,Sci-Fi Flat Skills / Tex_skill_64,양산형 강화 합금 장갑,3,3450,3115,2,16,중형 / 개조된 중형 해적선 50기 격파,14000,신형 장갑재를 사용해 내구성을 끌어올렸습니다. 사용자에게 강력한 방호력을 제공합니다.
1435000100,Radar_S,Sci-Fi Flat Skills / Tex_skill_58,근거리 레이더,4,3510,,1,,기본장비,,전파를 이용하는 고전적 방식의 장비입니다. 오래되었지만 아직 쓸만합니다.
1435000105,Radar_L,Sci-Fi Flat Skills / Tex_skill_58,장거리 레이더,4,3520,,1,5,해적 모선 5기 격파,6000,강력한 전파를 이용해 기존의 시스템보다 먼 거리를 탐지할 수 있는 장비입니다.
1435000117,Lidar,Sci-Fi Flat Skills / Tex_skill_58,라이다,4,3535,,1,18,,9000,레이저를 이용하는 신형 정보 시스템입니다. 탐지 거리를 획기적으로 늘려줍니다.
